ImageName,Index,FinalScore,FinalBin,VhCd,VillusHeight,CryptDepth
"testTIF03.tif",6,"GOOD",1,1.82076215744019,121.727374737079,66.8551764855018
"testTIF03.tif",13,"GOOD",1,1.76414263248444,167.633398202749,95.0225900503305
"testTIF03.tif",14,"GOOD",1,0.974138796329498,90.8891108586238,93.3020148644081
"testTIF03.tif",15,"GOOD",1,1.31246173381805,110.331383338341,84.064456646259
"testTIF03.tif",18,"GOOD",1,0.791157066822052,49.4898059551532,62.5537068293645
"testTIF03.tif",2,"OKAY",2,1.51653826236725,113.042967576247,74.5401341364934
"testTIF03.tif",5,"OKAY",2,7.03541421890259,143.959244948167,20.4620849902813
"testTIF03.tif",7,"OKAY",2,2.0294086933136,105.149259127103,51.8127541175255
"testTIF03.tif",8,"OKAY",2,4.59359312057495,107.938867422251,23.4976985637958
"testTIF03.tif",10,"OKAY",2,1.8390965461731,94.4898059551532,51.3783821692834
"testTIF03.tif",16,"OKAY",2,4.38056182861328,183.990868201623,42.0016620342548
"testTIF03.tif",20,"OKAY",2,2.44564461708069,80.0089909480168,32.7148898198054
"testTIF03.tif",1,"POOR",3,1.46141064167023,92.4705399733323,63.2748483511118
"testTIF03.tif",3,"POOR",3,1.22722566127777,84.7159934410682,69.0304905818059
"testTIF03.tif",4,"POOR",3,2.23817849159241,71.562136723445,31.9733813359187
"testTIF03.tif",9,"POOR",3,1.6389582157135,49.1130805382362,29.9660365764911
"testTIF03.tif",11,"POOR",3,0.929011166095734,64.8189767690805,69.7720096294697
"testTIF03.tif",12,"POOR",3,2.15005683898926,60.6855134230394,28.2250733008751
"testTIF03.tif",17,"POOR",3,2.32378387451172,99.3732288067157,42.7635427621695
"testTIF03.tif",19,"POOR",3,2.24521565437317,78.4275723970853,34.930974813608
